id, category, name, more_names
0, base, maxibiz, 
1, base, black, 
2, base, default, 
3, base, dark, 
4, base, light, 
5, base, albino, 
6, base, orange, 
7, base, pink, 
8, base, zombie, 
9, base, orc, 
10, base, alien, 
11, accessories, mohawk, 
12, accessories, mohawk2, 
13, accessories, mohawk-purple, 
14, accessories, mohawk2-purple, 
15, accessories, mohawk-red, 
16, accessories, mohawk2-red, 
17, accessories, mohawk-blonde, 
18, accessories, mohawk2-blonde, 
19, accessories, wildhair, 
20, accessories, wildhair-blonde, 
21, accessories, wildhair-red, 
22, accessories, wildhair-purple, 
23, accessories, peakspike, 
24, accessories, peakspike-blonde, 
25, accessories, bob, 
26, accessories, bob-blonde, 
27, accessories, tophat, 
28, accessories, knittedcap, 
29, accessories, beanie, 
30, accessories, cap, 
31, accessories, capforward, 
32, accessories, headband, 
33, accessories, hoodie, 
34, accessories, goldchain, 
35, accessories, earring, 
36, accessories, clownnose, 
37, accessories, clowneyes, 
38, accessories, clowneyes-blue, 
39, accessories, eyemask, 
40, accessories, 3dglasses, 
41, accessories, polarizedshades, 
42, accessories, classicshades, 
43, accessories, bigshades, 
44, accessories, coolshades, 
45, accessories, eyepatch, 
46, accessories, vr, 
47, accessories, goat, 
48, accessories, luxuriousbeard, 
49, accessories, luxuriousbeard-light, 
50, accessories, beard, 
51, accessories, beard-light, 
52, accessories, chinstrap, 
53, accessories, chinstrap-light, 
54, accessories, pipe, 
55, accessories, cap-small, 
56, accessories, cap-mcb, 
57, accessories, cowboyhat, 
58, accessories, wizardhat, 
59, accessories, jesterhat, 
60, accessories, bubblegum, 
61, accessories, bandana, 
62, accessories, bandana2, 
63, accessories, frenchcap, 
64, accessories, crown, 
65, accessories, lasereyes-red, 
66, accessories, lasereyes2-red, 
67, accessories, lasereyes3-red, 
68, accessories, lasereyes-green, 
69, accessories, lasereyes2-green, 
70, accessories, lasereyes3-green, 
71, accessories, lasereyes-blue, 
72, accessories, lasereyes2-blue, 
73, accessories, lasereyes3-blue, 
74, accessories, lasereyes-gold, 
75, accessories, lasereyes2-gold, 
76, accessories, lasereyes3-gold, 
