id, category, name, more_names
0, base, male1, 
1, base, male2, 
2, base, male3, 
3, base, male4, 
4, base, female1, 
5, base, female2, 
6, base, female3, 
7, base, female4, 
8, base, zombie, 
9, base, zombie female, 
10, base, zombie orange, 
11, base, ape, 
12, base, ape (1bit), 
13, base, ape blue, 
14, base, ape orange, 
15, base, ape gold, 
16, base, ape alien, 
17, base, ape zombie, 
18, base, ape female, 
19, base, alien, 
20, base, alien orange, 
21, base, alien lime, 
22, base, alien green, 
23, base, alien gold, 
24, base, alien blue, 
25, base, alien purple, 
26, base, alien magenta, 
27, base, alien red, 
28, base, alien female, 
29, base, alien orange female, 
30, base, alien lime female, 
31, base, alien green female, 
32, base, alien gold female, 
33, base, alien blue female, 
34, base, alien purple female, 
35, base, alien magenta female, 
36, base, alien red female, 
37, base, orc, 
38, base, orc female, 
39, base, orc orange, 
40, base, demon, 
41, base, demon female, 
42, base, demon orange, 
43, base, bot, 
44, base, bot orange, 
45, base, skeleton, 
46, base, skeleton female, 
47, base, skeleton orange, 
48, base, pink female, 
49, base, pepe, 
50, base, gold, 
51, base, orange, 
52, base, blue, 
53, base, blue female, 
54, base, blue female (a), 
55, base, green, 
56, base, green female, 
57, base, red, 
58, base, red female, 
59, base, purple, 
60, base, purple female, 
61, base, aqua, 
62, base, vampire, 
63, base, vampire female, 
64, base, vampire orange, 
65, base, mummy, 
66, base, mummy orange, 
67, base, davinci, 
68, base, davinci (a), 
69, base, shakespeare, 
70, base, vangogh, 
71, base, frida, 
72, base, frida (a), 
73, base, joe, 
74, base, joe (a), 
75, base, donald, 
76, base, donald (a), 
77, base, nikki, 
78, base, nikki (a), 
79, base, nikki (b), 
80, base, mundl, 
81, base, marc, 
82, base, marc (xl), 
83, base, bitmap orange, 
84, base, bitmap pink, 
85, base, bitmap (1bit), 
86, base, rock gray, 
87, base, rock block gray, 
88, base, rock gold, 
89, base, rock block gold, 
90, base, rock pink, 
91, base, rock pepe, 
92, base, monke light, 
93, base, monke orange, 
94, base, monke pink, 
95, base, monke orc, 
96, base, monke alien, 
97, base, doge, 
98, base, doge (a), 
99, base, doge dark, 
100, base, doge dark (a), 
101, base, doge zombie, 
102, base, doge zombie (a), 
103, base, doge alien, 
104, base, doge alien (a), 
105, hair, blonde bob, 
106, hair, blonde bob (bmp), 
107, hair, crazy hair (f), 
108, hair, crazy hair (m), 
109, hair, mohawk dark, 
110, hair, peak spike, 
111, hair, peak spike (rock), 
112, hair, peak spike red (rock), 
113, hair, peak spike blonde (rock), 
114, hair, purple hair, 
115, hair, purple hair (bmp), 
116, hair, purple hair (doge), 
117, hair, straight hair blonde, 
118, hair, wild blonde, 
119, hair, wild blonde (bmp), 
120, hair, wild hair (m), 
121, hair, wild hair (doge), 
122, hair, wild hair (f), 
123, hair, wild white hair, 
124, hair, wild white hair (doge), 
125, hair, half shaved, 
126, hair, half shaved blonde, 
127, hair, half shaved blonde (bmp), 
128, hair, half shaved purple, 
129, hair, mohawk thin, 
130, hair, mohawk, 
131, hair, red mohawk, 
132, hair, red mohawk (bmp), 
133, hair, red mohawk (doge), 
134, hair, messy hair (m), 
135, hair, messy hair (f), 
136, hair, messy hair green (f), 
137, hair, messy hair blonde (f), 
138, hair, dark hair, 
139, hair, straight hair, 
140, hair, straight hair dark, 
141, hair, shaved head, 
142, hair, blonde short, 
143, hair, pink short, 
144, hair, stringy hair, 
145, hair, frumpy hair (f), 
146, hair, frumpy hair (m), 
147, hair, orange side, 
148, hair, blonde side, 
149, hair, white side, 
150, hair, pink with hat, 
151, hair, clown hair green (f), 
152, hair, clown hair green (m), 
153, hair, clown hair blue (m), 
154, hair, vampire hair, 
155, hair, pigtails, 
156, hair, pigtails red, 
157, hair, pigtails blonde, 
158, head, bandana, 
159, head, bandana (xl), 
160, head, cap, 
161, head, cap (1bit), 
162, head, cap red, 
163, head, cap red (rock), 
164, head, cap blue, 
165, head, cap forward, 
166, head, cowboy hat, 
167, head, cowboy hat (xl), 
168, head, headband, 
169, head, knitted cap, 
170, head, knitted cap (rock), 
171, head, top hat, 
172, head, top hat (rock), 
173, head, beanie, 
174, head, do-rag, 
175, head, police cap, 
176, head, pilot helmet, 
177, head, tassle hat, 
178, head, fedora, 
179, head, tiara, 
180, head, crown, 
181, head, jester hat, 
182, head, flowers, 
183, head, sombrero, 
184, head, birthday hat, 
185, head, bow, 
186, head, sun hat, 
187, head, sun hat (a), 
188, eyes, 3d glasses, 
189, eyes, 3d glasses (rock), 
190, eyes, big shades, 
191, eyes, classic shades, 
192, eyes, classic shades (xl), 
193, eyes, classic shades green, 
194, eyes, clown eyes green, 
195, eyes, clown eyes blue, 
196, eyes, nerd glasses, 
197, eyes, regular shades, 
198, eyes, regular shades (xl), 
199, eyes, vr, 
200, eyes, vr pro, 
201, eyes, small shades, 
202, eyes, laser eyes, 
