id, name, gender, size, type, more_names
0, Human B&W, m, l, Archetype - Human, Human Male B&W | Human B&W ♂ | Male B&W | Male 1-Bit
1, Human 1 (F), m, l, Archetype - Human, Human Male 1 (F) | Human 1 ♂ (F) | Male 1-I (F) | Male 1 (F) | Man 1 (F) | ♂ 1 (F)
2, Human 2 (F), m, l, Archetype - Human, Human Male 2 (F) | Human 2 ♂ (F) | Male 2-I (F) | Male 2 (F) | Man 2 (F) | ♂ 2 (F)
3, Human 3 (F), m, l, Archetype - Human, Human Male 3 (F) | Human 3 ♂ (F) | Male 3-I (F) | Male 3 (F) | Man 3 (F) | ♂ 3 (F)
4, Human 4 (F), m, l, Archetype - Human, Human Male 4 (F) | Human 4 ♂ (F) | Male 4-I (F) | Male 4 (F) | Man 4 (F) | ♂ 4 (F)
5, Human 1, m, l, Archetype - Human, Human Male 1 | Human 1 ♂ | Male 1 | Man 1 | ♂ 1
6, Human 2, m, l, Archetype - Human, Human Male 2 | Human 2 ♂ | Male 2 | Man 2 | ♂ 2
7, Human 3, m, l, Archetype - Human, Human Male 3 | Human 3 ♂ | Male 3 | Man 3 | ♂ 3
8, Human 4, m, l, Archetype - Human, Human Male 4 | Human 4 ♂ | Male 4 | Man 4 | ♂ 4
9, Human 1 (N), m, l, Archetype - Human, Human Male 1 (N) | Human 1 ♂ (N) | Male 1 (N) | Man 1 (N) | ♂ 1 (N)
10, Human 2 (N), m, l, Archetype - Human, Human Male 2 (N) | Human 2 ♂ (N) | Male 2 (N) | Man 2 (N) | ♂ 2 (N)
11, Human 3 (N), m, l, Archetype - Human, Human Male 3 (N) | Human 3 ♂ (N) | Male 3 (N) | Man 3 (N) | ♂ 3 (N)
12, Human 4 (N), m, l, Archetype - Human, Human Male 4 (N) | Human 4 ♂ (N) | Male 4 (N) | Man 4 (N) | ♂ 4 (N)
13, Human Female B&W, f, l, Archetype - Human, Human B&W ♀ | Female B&W | Female 1-Bit
14, Human Female 1 (F), f, l, Archetype - Human, Human 1 ♀ (F) | Female 1-I (F) | Female 1 (F) | Woman 1 (F) | Lady 1 (F) | ♀ 1 (F)
15, Human Female 2 (F), f, l, Archetype - Human, Human 2 ♀ (F) | Female 2-I (F) | Female 2 (F) | Woman 2 (F) | Lady 2 (F) | ♀ 2 (F)
16, Human Female 3 (F), f, l, Archetype - Human, Human 3 ♀ (F) | Female 3-I (F) | Female 3 (F) | Woman 3 (F) | Lady 3 (F) | ♀ 3 (F)
17, Human Female 4 (F), f, l, Archetype - Human, Human 4 ♀ (F) | Female 4-I (F) | Female 4 (F) | Woman 4 (F) | Lady 4 (F) | ♀ 4 (F)
18, Human Female 1 (U), f, l, Archetype - Human, Human 1 ♀ (U) | Female 1 (U) | Woman 1 (U) | Lady 1 (U) | ♀ 1 (U)
19, Human Female 2 (U), f, l, Archetype - Human, Human 2 ♀ (U) | Female 2 (U) | Woman 2 (U) | Lady 2 (U) | ♀ 2 (U)
20, Human Female 3 (U), f, l, Archetype - Human, Human 3 ♀ (U) | Female 3 (U) | Woman 3 (U) | Lady 3 (U) | ♀ 3 (U)
21, Human Female 4 (U), f, l, Archetype - Human, Human 4 ♀ (U) | Female 4 (U) | Woman 4 (U) | Lady 4 (U) | ♀ 4 (U)
22, Human Female 1, f, s, Archetype - Human, Human 1 ♀ | Female 1 | Woman 1 | Lady 1 | ♀ 1
23, Human Female 2, f, s, Archetype - Human, Human 2 ♀ | Female 2 | Woman 2 | Lady 2 | ♀ 2
24, Human Female 3, f, s, Archetype - Human, Human 3 ♀ | Female 3 | Woman 3 | Lady 3 | ♀ 3
25, Human Female 4, f, s, Archetype - Human, Human 4 ♀ | Female 4 | Woman 4 | Lady 4 | ♀ 4
26, Human Female 1 (N), f, s, Archetype - Human, Human 1 ♀ (N) | Female 1 (N) | Woman 1 (N) | Lady 1 (N) | ♀ 1 (N)
27, Human Female 2 (N), f, s, Archetype - Human, Human 2 ♀ (N) | Female 2 (N) | Woman 2 (N) | Lady 2 (N) | ♀ 2 (N)
