id, category, name, more_names
0, , male1, 
1, , male2, 
2, , male3, 
3, , female1, 
4, , female2, 
5, , female3, 
6, , Zombie 1, Zombie
7, , zombie2, 
8, , zombie3, 
9, , zombie4, 
10, , Ape 1, Ape
11, , ape2, 
12, , ape3, 
13, , ape4, 
14, , ape5, 
15, , ape6, 
16, , ape7, 
17, , ape8, 
18, , Alien 1, Alien
19, , alien2, 
20, , alien3, 
21, , blonde_bob, 
22, , crazy_hair, 
23, , half_shaved, 
24, , mohawk, 
25, , wild_hair, 
26, , bandana, 
27, , beanie, 
28, , cap_forward, 
29, , cowboy_hat, 
30, , headband, 
31, , knitted_cap, 
32, , top_hat, 
33, , 3d_glasses, 
34, , big_shades, 
35, , small_shades, 
36, , nerd_glasses, 
37, , eye_patch, 
38, , goat, 
39, , green_eye_shadow, 
40, , purple_eye_shadow, 
41, , hot_lipstick, 
42, , smile, 
43, , earring, 
44, , cigarette, 
45, , medical_mask, 
46, , pipe, 
47, , hoodie, 
