id, category, name, more_names
0, , male 01,
1, , male 02,
2, , male 03,
3, , male 04,
4, , male 05,
5, , male 06,
6, , male 07,
7, , male 08,
8, , male 09,
9, , male 10,
10, , light 1,
11, , light 2,
12, , medium 1,
13, , medium 2,
14, , darker 1,
15, , darker 2,
16, , dark 1,
17, , dark 2,
18, , white shemagh,
19, , white shemagh agal,
20, , white shemagh gold agal,
21, , white shemagh stylish gold agal,
22, , white shemagh crown,
23, , brown shemagh agal,
24, , brown shemagh crown,
25, , red shemagh,
26, , red shemagh agal,
27, , red shemagh crown,
28, , messy white beard,
29, , short white beard,
30, , normal white beard,
31, , luxurious white beard,
32, , short grey beard,
33, , messy brown beard,
34, , normal brown beard,
35, , luxurious brown beard,
36, , shadow beard,
37, , shadow beard mustache,
38, , light beard,
39, , mustache,
40, , stylish mustache,
41, , sideburns,
42, , sideburns mustache,
43, , normal beard,
44, , normal brown beard mustache,
45, , luxurious beard,
46, , horn rimmed glasses,
47, , rimless glasses,
48, , nerd glasses,
49, , stylish nerd glasses,
50, , classic shades,
51, , classic green shades,
52, , classic gold shades,
53, , regular pixel shades,
54, , regular reflective shades,
55, , big green shades,
56, , big pixel shades,
57, , big purple shades,
58, , big shades,
59, , small shades,
60, , regular shades,
61, , round shades,
62, , big round shades,
63, , square reflective shades,
64, , square shades,
65, , 3d glasses,
66, , vr,
67, , laser eyes,
68, , max bidding,
69, , cigarette,
70, , shadowless cigarette,
71, , miswak,
72, , vape,
73, , shadowless vape,
74, , cigar,
75, , pearwood pipe,
76, , rosewood pipe,
77, , bubble gum,
